factor,warning_date,primary_classification,appendix_classification,reference_collapse_start,appendix_lead_time_days,inside_active_collapse,within_primary_horizon,within_extended_horizon
SMB,1991-12-02,false_positive,too_early_to_attribute,1997-04-22,1362.0,False,False,False
SMB,1992-03-02,false_positive,too_early_to_attribute,1997-04-22,1300.0,False,False,False
SMB,1992-03-12,false_positive,too_early_to_attribute,1997-04-22,1292.0,False,False,False
SMB,1992-12-31,false_positive,too_early_to_attribute,1997-04-22,1088.0,False,False,False
SMB,1994-02-02,false_positive,too_early_to_attribute,1997-04-22,812.0,False,False,False
SMB,1994-02-15,false_positive,too_early_to_attribute,1997-04-22,803.0,False,False,False
SMB,1994-03-28,false_positive,too_early_to_attribute,1997-04-22,775.0,False,False,False
SMB,1994-07-28,false_positive,too_early_to_attribute,1997-04-22,691.0,False,False,False
SMB,1995-01-12,false_positive,too_early_to_attribute,1997-04-22,575.0,False,False,False
SMB,1995-01-31,false_positive,too_early_to_attribute,1997-04-22,562.0,False,False,False
SMB,1995-02-24,false_positive,too_early_to_attribute,1997-04-22,545.0,False,False,False
SMB,1996-12-03,true_positive,true_positive,1997-04-22,96.0,False,True,True
SMB,1996-12-31,true_positive,true_positive,1997-06-10,111.0,False,True,True
SMB,1999-04-13,false_positive,too_early_to_attribute,2007-11-16,2164.0,False,False,False
SMB,2000-01-05,false_positive,too_early_to_attribute,2007-11-16,1978.0,False,False,False
SMB,2000-03-15,false_positive,too_early_to_attribute,2007-11-16,1930.0,False,False,False
SMB,2001-04-19,false_positive,too_early_to_attribute,2007-11-16,1654.0,False,False,False
SMB,2001-06-04,false_positive,too_early_to_attribute,2007-11-16,1623.0,False,False,False
SMB,2002-11-25,false_positive,too_early_to_attribute,2007-11-16,1253.0,False,False,False
SMB,2003-07-22,false_positive,too_early_to_attribute,2007-11-16,1090.0,False,False,False
SMB,2003-10-07,false_positive,too_early_to_attribute,2007-11-16,1036.0,False,False,False
SMB,2005-02-09,false_positive,too_early_to_attribute,2007-11-16,698.0,False,False,False
SMB,2005-03-09,false_positive,too_early_to_attribute,2007-11-16,679.0,False,False,False
SMB,2005-04-05,false_positive,too_early_to_attribute,2007-11-16,661.0,False,False,False
SMB,2006-03-07,false_positive,too_early_to_attribute,2007-11-16,429.0,False,False,False
SMB,2007-04-03,false_positive,extended_early_warning,2007-11-16,159.0,False,False,True
SMB,2007-06-08,true_positive,true_positive,2007-11-16,113.0,False,True,True
SMB,2007-08-08,true_positive,true_positive,2008-01-03,102.0,False,True,True
SMB,2008-09-30,false_positive,too_early_to_attribute,2014-09-15,1499.0,False,False,False
SMB,2010-02-08,false_positive,too_early_to_attribute,2014-09-15,1158.0,False,False,False
SMB,2011-01-19,false_positive,too_early_to_attribute,2014-09-15,919.0,False,False,False
SMB,2011-02-02,false_positive,too_early_to_attribute,2014-09-15,909.0,False,False,False
SMB,2011-10-04,false_positive,too_early_to_attribute,2014-09-15,740.0,False,False,False
SMB,2012-01-03,false_positive,too_early_to_attribute,2014-09-15,678.0,False,False,False
SMB,2013-04-15,false_positive,too_early_to_attribute,2014-09-15,358.0,False,False,False
SMB,2013-07-01,false_positive,too_early_to_attribute,2014-09-15,304.0,False,False,False
SMB,2014-10-15,true_positive,true_positive,2014-11-28,31.0,False,True,True
SMB,2015-03-04,false_positive,too_early_to_attribute,2019-05-30,1067.0,False,False,False
SMB,2015-08-21,false_positive,too_early_to_attribute,2019-05-30,948.0,False,False,False
SMB,2016-11-09,false_positive,too_early_to_attribute,2019-05-30,640.0,False,False,False
SMB,2019-02-13,true_positive,true_positive,2019-05-30,73.0,False,True,True
SMB,2020-03-02,true_positive,true_positive,2020-03-10,6.0,False,True,True
SMB,2020-03-10,false_positive,post_collapse_warning,2020-03-10,0.0,True,False,False
SMB,2021-11-26,false_positive,terminal_false_positive,,,False,False,False
SMB,2023-01-25,false_positive,terminal_false_positive,,,False,False,False
SMB,2023-02-13,false_positive,terminal_false_positive,,,False,False,False
SMB,2023-03-06,false_positive,terminal_false_positive,,,False,False,False
SMB,2023-06-06,false_positive,terminal_false_positive,,,False,False,False
SMB,2023-08-25,false_positive,terminal_false_positive,,,False,False,False
SMB,2023-11-14,false_positive,terminal_false_positive,,,False,False,False
SMB,2024-07-11,false_positive,terminal_false_positive,,,False,False,False
